date,equity
2023-01-01,5000.0
2023-01-02,5000.0
2023-01-03,5000.0
2023-01-04,5000.0
2023-01-05,5000.0
2023-01-06,5000.0
2023-01-07,5000.0
2023-01-08,5000.0
2023-01-09,5000.0
2023-01-10,5000.0
2023-01-11,4993.389573064955
2023-01-12,5285.987743786667
2023-01-13,5927.19313649959
2023-01-14,7796.824821696385
2023-01-15,7612.716163655621
2023-01-16,7916.340976567549
2023-01-17,7724.630450440825
2023-01-18,5512.862501870224
2023-01-19,7523.531940275465
2023-01-20,12677.481912900434
2023-01-21,11054.587349483216
2023-01-22,11105.292483612986
2023-01-23,12964.36045338834
2023-01-24,8857.447955334523
2023-01-25,12793.85846344912
2023-01-26,11509.26804346221
2023-01-27,12132.64306743403
2023-01-28,10299.551543996342
2023-01-29,16586.66810382823
2023-01-30,8294.140089777198
2023-01-31,11602.3399954042
2023-02-01,17163.78045138425
2023-02-02,16815.503383915202
2023-02-03,18992.788895030608
2023-02-04,18420.749456348844
2023-02-05,13236.1649231843
2023-02-06,10221.18019965382
2023-02-07,18254.84351947071
2023-02-08,14547.65233900559
2023-02-09,-2187.514459252705
2023-02-10,-5118.844042471816
2023-02-11,-1114.384245331592
2023-02-12,-3545.3252536267573
2023-02-13,-8860.135421176718
2023-02-14,-282.58740188054435
2023-02-15,25367.04308260052
2023-02-16,13501.56988363032
2023-02-17,25979.602301200957
2023-02-18,26798.16225584994
2023-02-19,23254.241575831635
2023-02-20,31659.668296276883
2023-02-21,23464.816585066175
2023-02-22,21106.539475593043
2023-02-23,18501.346731481157
2023-02-24,7380.278431104989
2023-02-25,5111.929871699085
2023-02-26,14244.44390681196
2023-02-27,11791.847173469423
2023-02-28,5147.202609496996
2023-03-01,16425.454250106803
2023-03-02,11639.421915465246
2023-03-03,-5946.278982442564
2023-03-04,-7533.339237424541
2023-03-05,-8348.60067238453
2023-03-06,-8600.020588807929
2023-03-07,-9230.599925441573
2023-03-08,-17591.520665002696
2023-03-09,-44128.6342476499
2023-03-10,-46315.05898662181
2023-03-11,-38744.346812635114
2023-03-12,-7835.771471198219
2023-03-13,23594.27069517384
2023-03-14,30825.923647771175
2023-03-15,20808.50701082452
2023-03-16,33237.685094180626
2023-03-17,64412.67417208645
2023-03-18,56406.781051839964
2023-03-19,65940.02541067329
2023-03-20,57414.30631098835
2023-03-21,69773.27849984792
2023-03-22,53101.98656549615
