date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,SOLUSDT_PERP,XRPUSDT_PERP
2023-01-01,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0
2023-01-07,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.0,0.0
2023-01-11,1309.4626095483993,4451.887586846147,3339.5737122542737,63.49868859335548,-835.5774027578226
2023-01-12,3114.155168576097,6221.0177110385375,9064.348301697863,322.90382247823067,-1277.57499620927
2023-01-13,5407.960180447908,6986.87035298712,15079.67066236425,799.9124982642693,-829.5636864820872
2023-01-14,8989.258593995532,5762.713776936127,16606.179632858926,908.6924279212107,2357.8198578316424
2023-01-15,12113.91589156498,5515.571090539847,19757.58026494978,1147.5039690067679,4654.400712115582
2023-01-16,14502.095457024043,6376.482587779532,23445.178252640046,1605.2829040901154,7259.932726643217
2023-01-17,16748.86166762579,7562.179343590984,26632.961433532848,2091.534940099703,10153.43454332763
2023-01-18,17882.093839241068,8452.995621353468,29244.67600908555,2540.3258502006056,13224.235559013232
2023-01-19,19294.760353270685,9695.523462671732,33209.47407656012,3010.324999608969,16134.243986782418
2023-01-20,20674.73840689965,10150.772987827688,36989.54122946967,3570.932439525261,19958.34181517165
2023-01-21,21410.914522426272,11356.436925159258,40866.00549589344,4163.962179869115,23547.007755545834
2023-01-22,21991.965624977896,12977.65224485247,44651.373434764355,4785.42040653792,26937.915167761275
2023-01-23,22586.081456349064,15078.891900845738,48184.09705527366,5456.699068936266,30038.55739748919
2023-01-24,22932.489464327722,17658.28634753966,51724.71005832767,6113.74660975927,32915.0943989396
2023-01-25,23409.071932726998,20426.82069112474,54873.57957007331,6799.935491052278,35834.91919391659
2023-01-26,24115.401490317792,23335.923822762372,57892.96381522311,7511.842251001499,38488.19549958914
2023-01-27,25051.08113373609,26299.536605474415,60657.51870392121,8216.426104491477,41119.76433127072
2023-01-28,26122.239477477004,29365.966650958522,63322.99377497991,8910.002891671085,43623.1240838074
2023-01-29,27304.728528297703,32465.87691495637,65789.7240801399,9686.631380158351,46097.36597534159
2023-01-30,28632.4995884269,35249.43883230547,68681.1348186208,10512.884151192919,48268.36948834782
2023-01-31,30120.207341886777,38110.2273440614,71489.882478076,11307.594010101799,50316.41570476793
2023-02-01,31738.0159943254,40938.8387632124,74160.68946710878,12117.896793563184,52388.88586068415
2023-02-02,32901.15088674136,43849.761954132315,77096.14323251224,12909.607006766455,54587.663798741545
2023-02-03,34301.34926278502,46637.522339495044,79908.09662940308,13705.200712375963,56792.15793483481
2023-02-04,35966.047777600616,49308.09962825921,82641.4966716912,14453.469191554028,58975.21360978887
2023-02-05,38092.79945637924,51841.84948378868,85481.94718492174,15191.161802326666,60736.5689514776
2023-02-06,40533.71327147502,54313.44753861496,88472.57586198421,15817.92977600181,62206.66043081794
2023-02-07,43140.605550012355,56762.41563202092,91429.415414211,16457.948803979754,63553.94147866989
2023-02-08,45913.80114227551,59145.32898658939,94504.9414561394,17053.348211676406,64726.90708221323
2023-02-09,48069.307169356834,61316.52162123524,98111.72480994172,17484.511569015605,65473.02127539452
2023-02-10,50070.67965598683,62844.57262812809,101238.5984190206,17588.871159267164,66712.76039201228
2023-02-11,52778.63939934454,65395.780073045455,105712.04247865862,17559.875226134925,66951.15321096696
2023-02-12,55721.35623573425,68357.59255259516,109338.75244256508,17559.875226134925,67419.91393112109
2023-02-13,57693.13020265999,71613.42149305322,112389.2467316863,17451.890242609094,69033.83175109024
2023-02-14,59714.59387112859,74753.43627181405,115985.44915935367,17344.32570487564,70168.58633846
2023-02-15,61583.69649663836,78162.8178395661,119533.4985344315,17445.157715678433,71241.22075931754
2023-02-16,63261.84835104615,80243.92248479668,124459.04552014144,17487.3992241124,71569.9020228359
2023-02-17,64694.623648545974,82501.05636669471,129570.00417862847,17619.4420935082,71670.9870274413
2023-02-18,65995.27576257603,85061.57788756826,134777.83330637054,17894.5387682971,71494.92987781242
2023-02-19,67043.0801051968,87616.89097498896,139700.57973412555,18547.24915828539,70677.2259613418
2023-02-20,67994.40850441146,90460.47308963272,144587.5610914668,19776.985695099782,70588.85436935587
2023-02-21,68933.28705674165,93330.0147322972,148890.31230330703,21098.198833458628,70151.6936772781
2023-02-22,69962.01813762459,96119.36328783938,152760.11543398054,22372.90305070039,69630.31603034413
2023-02-23,70573.05088107483,99758.86502685133,156655.1342734759,23402.406884171825,68805.37318577312
2023-02-24,70927.07474183313,103558.15195783654,160344.7577108292,24134.039337502214,67379.93986820031
2023-02-25,71303.26020779075,107556.16507680352,163759.3515638238,24625.224334001276,65659.91730261855
2023-02-26,72022.13079722186,111234.42802073278,167386.43914811834,25081.797834349054,64140.71192062127
2023-02-27,72471.53447056847,114877.84442123621,170968.81267706933,25398.801469955644,62132.90915902889
2023-02-28,72877.1836874435,118419.52642074312,174435.31950711287,25500.422024987747,59648.36776048648
2023-03-01,73324.40313354491,122000.15296697672,177867.805388081,25525.218796961428,57133.49640576329
2023-03-02,74021.69634985451,125435.59156794741,180985.57563544388,25438.092218738926,54471.125048628965
2023-03-03,74313.00119369045,128715.19216682418,184131.19363452733,25155.42582531661,51470.31488384743
2023-03-04,74440.98235903021,131908.14812056193,186968.08437980022,24665.265297751965,48118.30327576248
2023-03-05,74148.44371447524,134948.40577876527,189591.70315544086,23972.443540545893,44767.54011136749
2023-03-06,73562.89394384668,137903.9629793863,192096.14383541656,23074.76345405771,41710.76784908097
2023-03-07,73085.56742344644,140852.15662625944,194611.02416702738,21931.173771685804,38794.758030337085
2023-03-08,71968.53159553443,143607.2368476181,196897.46565732532,20517.061130849208,36367.42821074229
2023-03-09,69898.93738326691,145078.307460021,198113.89325731498,18459.71684168395,33181.86492456763
2023-03-10,68145.24909080088,146710.62330635719,198989.55516241418,16002.86391461918,29900.383895533807
2023-03-11,66681.18980575853,147970.2657099638,199640.9650660083,13226.261509122303,27534.71387212872
2023-03-12,65836.04861727037,149834.23221107596,201201.33667515748,10427.312224514171,26145.42374308587
2023-03-13,65532.354305231514,152677.08569777507,203940.3653739674,7567.841460635002,25086.459596193792
2023-03-14,65038.62912274043,153341.86995151185,206814.8758974839,4816.897988934452,23231.477254690875
2023-03-15,64031.86615055176,151754.37297294405,206611.27928610204,2267.6353255075687,19404.829216522325
2023-03-16,63697.7478230181,150736.1000561053,206611.27928610204,-339.69643218949614,14249.187610551555
2023-03-17,67252.93584018585,151171.42121030288,208133.72289671245,-2347.133366498784,12322.457682890275
2023-03-18,70660.99582645808,152058.03093659724,209773.2290711043,-3947.819835340796,9857.320038690703
2023-03-19,74233.0947662488,153470.25634659748,211675.7498340687,-5150.834320001579,7947.179636106879
2023-03-20,77761.17944807527,155228.8635701918,213424.1375312392,-6032.034620370519,5863.459539067115
2023-03-21,81293.95131319933,158308.1789936354,215767.62979130767,-6575.149318985501,6364.765291815991
2023-03-22,84421.61009249078,161365.2572254701,218682.54504063237,-7075.505785021621,6764.75656532905
2023-03-23,87425.0678036904,164259.68176649924,221581.23407706796,-7352.91013410927,7690.780927577054
2023-03-24,90393.76203487291,167140.80050350048,224214.81269422398,-7761.29115550133,8799.008320845258
2023-03-25,93190.29896556347,169884.02661392622,226914.6565082589,-8230.473116927296,10090.219504268061
2023-03-26,95959.74985513213,172566.3888800018,229548.50845635575,-8669.047332840422,11565.98018461388
2023-03-27,98147.50937805208,175330.1827599709,232259.28043249174,-9322.52631541141,13250.175823017848
2023-03-28,100142.11481826493,178133.72036992674,235010.85380923902,-10022.665814768923,15000.319896744357
2023-03-29,101668.55055443381,181099.2406729499,237941.17250940073,-10692.788196419398,16907.922775740135
2023-03-30,102875.0368822611,184147.01134997574,241018.83189427777,-11425.03187297011,18843.762709459254
2023-03-31,104111.27972904294,187233.47535472515,244130.92179400806,-12032.299924178833,20801.697906988997
2023-04-01,105405.74390898265,190370.94008562845,247295.87038233632,-12649.832805663264,22587.2875263333
2023-04-02,106549.73429602763,193515.1906870789,250441.55090165435,-13363.296174729965,24439.902649453128
2023-04-03,107461.83260190499,196710.46375192096,253746.14526899057,-14164.253834697054,26226.9792514304
2023-04-04,108278.77213352283,199959.03003708404,257064.56173225204,-14957.10364383332,28050.20716225176
2023-04-05,108707.3402506067,203331.51344838066,260545.35763268903,-15771.255174757613,29954.208202509988
2023-04-06,108763.63791500403,206864.33515181666,264054.5732974127,-16676.31740036623,31950.810944344386
2023-04-07,108763.63791500403,210383.57322065788,267549.8860818312,-17623.91949776756,33988.65799368338
2023-04-08,108460.24979350528,213763.33497776548,270855.23935383814,-18724.929718384155,35899.14462245346
2023-04-09,107969.40032608475,217062.74308856053,274073.1907986736,-19864.94671819514,37750.918599591416
2023-04-10,107468.32081061933,220287.03472899794,277357.2901299882,-20926.48417680125,39679.910653767845
2023-04-11,107059.47296346615,223892.1964461441,280913.5331254527,-21226.678808420533,41809.463462384745
2023-04-12,106698.32089766604,227424.6096527087,284516.5722880181,-20782.64804961744,43868.82826865153
2023-04-13,106527.50246912231,230822.98068248847,287747.3007936424,-19570.107380474103,45856.36963556042
2023-04-14,106466.74066178071,234058.44122967895,290726.8891527102,-17762.5271294545,47772.978670940916
2023-04-15,106650.7563878137,237222.29976828228,293645.91395420925,-15912.707066766385,49656.25954211748
2023-04-16,107203.12663805435,240242.00229619097,296467.09101149626,-14109.842667506178,51460.14530742087
2023-04-17,107901.27519333818,243124.27020286807,299255.57695336005,-12324.652008853518,53306.052244943494
2023-04-18,108843.00505810112,245891.48340005436,302009.2004642877,-10563.617532836466,55082.45119604954
2023-04-19,109117.73693223714,249072.8185078593,304603.8088619221,-8650.133445078085,57118.291728715754
2023-04-20,109117.73693223714,252299.1721531862,307491.2267693852,-6903.0913870620925,59257.47811790974
2023-04-21,109083.37310529254,254957.15346442314,310564.2769891968,-5319.039214775639,61908.030587630186
2023-04-22,109619.64321445665,257185.7527566214,313916.294721917,-4027.9573821395747,64500.06162091151
2023-04-23,111086.33143154919,259556.18779873897,316976.01006878365,-3203.694423466776,66778.96005616196
2023-04-24,113357.15057095209,261837.4938122575,319810.7125568141,-2713.679588496467,68902.11758023976
2023-04-25,116561.94797962789,263734.67636391404,322138.30986942153,-2259.6322072920284,71018.49292609554
2023-04-26,119704.99243958367,265802.75061810913,324568.2127074731,-2068.91651944456,73186.75568604568
2023-04-27,122580.36482539237,268092.10100479226,327181.18563047657,-1773.5545949057641,75113.69806601157
2023-04-28,125397.95939883568,270227.97574260866,329411.14123667387,-1152.603631610813,77309.3221852596
2023-04-29,127925.66492170506,272565.2898668907,331587.3945546538,-347.21179401656923,79462.65738253405
2023-04-30,130518.3995602223,275441.0805062948,333769.04026033403,541.7471462268611,80923.52745868906
2023-05-01,133010.2787190109,278757.72827175976,336409.7349858468,1199.8868746284525,81816.16608052117
2023-05-02,135493.31230353145,282578.80275072297,338825.7392645567,1928.4622253062798,82367.47838764971
2023-05-03,138054.05400184565,286093.78049527435,340774.5286502062,2620.066446673534,83651.36533776736
2023-05-04,141338.12456341105,289704.5250254088,342216.46720501507,3173.6020499128467,84761.07608801937
2023-05-05,144527.28316687027,293341.1359778128,344230.8568670096,4100.547470157615,84993.9714499168
2023-05-06,147189.95939090647,295609.25493012555,345885.6476752032,4755.329967749244,85092.10553604484
2023-05-07,148957.85762695668,298147.10411831137,348275.2885567716,5081.73509494514,84792.52172727534
2023-05-08,149923.85845088604,301369.0280964778,350944.61821084114,4532.876441340117,84792.52172727534
2023-05-09,150375.54996787434,304473.2834715225,352581.95157519006,3503.6330541069733,85966.61493023613
2023-05-10,150340.3274643207,307451.6993305612,354356.24669388536,2080.852006966146,86715.04197805173
2023-05-11,149214.8545644427,309614.9459693863,356355.8403002906,-110.90908652290955,86749.07722705726
2023-05-12,147322.92020734333,311505.0957207739,359247.07206598576,-2539.497530799301,86411.15573928658
2023-05-13,144905.06762580885,313011.6455302806,361930.39759012766,-4859.398001609994,85338.78412528035
2023-05-14,142272.6050934179,314400.4626181508,364139.1523684535,-7016.093154581224,83725.51367683859
2023-05-15,139840.70593688497,316218.8095858264,366427.7725195523,-8841.918918162284,82090.20571572702
2023-05-16,136644.03392369093,317346.92775015795,369191.47005746746,-11128.298772868056,81465.07328587356
2023-05-17,133238.1997836745,317683.7364113967,372047.2907351993,-13417.0100008481,80352.24799284058
2023-05-18,129610.45708427932,316194.94697158365,373714.46881350654,-15851.802125396302,79570.75033490422
2023-05-19,125669.22023530556,315025.8275475831,374727.38124568004,-18441.166957953694,78283.38387260943
2023-05-20,121447.40036539634,314686.9153727343,376041.0646200254,-21391.6736364492,77108.3059702083
2023-05-21,117732.32407412837,313841.5188331337,377311.5644847883,-24096.900479455235,75644.50550884588
2023-05-22,113660.23957214129,313406.24135067355,378157.8737662933,-27060.746611268456,73962.02290661134
2023-05-23,110017.92308365733,311501.67327095295,378656.7735684784,-29918.13809147766,72865.19875721024
2023-05-24,106272.02315668891,309549.6255350602,378824.94134777656,-32615.67145254066,71428.84756043258
2023-05-25,102810.87993844805,306860.3293481583,379198.54501885537,-34999.09416266133,70336.31334677474
2023-05-26,99270.72699893279,303574.65803646203,379168.8275604173,-37467.512375243125,69660.27326900615
2023-05-27,96018.61107270967,300303.89765539655,379601.23708098335,-39897.600843799504,69045.64756541714
2023-05-28,93141.35977775509,297545.04483486945,381261.99888066057,-42302.25003233659,68747.16266911317
2023-05-29,90092.44176927887,294329.7039496931,382265.616883905,-44904.48853072504,68877.04727382773
2023-05-30,87012.27599365523,291734.3072999895,383059.13188732154,-47305.05458528397,70007.403790525
2023-05-31,83952.49277922857,289764.5131021777,384153.2749438555,-49396.04785440442,71792.69005263216
2023-06-01,80644.9440584369,287542.66829855385,384614.25846254145,-51468.99340359308,73729.36746034204
