date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,XRPUSDT_PERP
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,357.4301064674443,1165.484798620005,1438.3758972583596,667.0559806812072
2020-02-21,281.4554871208244,1279.476626521117,1362.288405179933,654.1350564432669
2020-02-22,0.0,1358.0687583627805,1334.7223369446763,611.6907150022114
2020-02-23,0.0,1247.9419318116732,1461.4983728998013,553.7720116053002
2020-02-24,-59.829621182430095,1153.9050186488,1546.6176262071783,522.3959634908672
2020-02-25,-277.72968245148496,695.4474493915268,1782.444089378822,511.9688827055011
2020-02-26,-904.4168383160236,-1254.6132562786768,1241.9155099058266,256.16718368208944
2020-02-27,-829.305701725209,-1654.9082189571322,757.3181893459252,0.0
2020-02-28,-752.2594027959033,-1812.831228298362,357.11182609896014,-142.19659725770234
2020-02-29,-752.2594027959033,-2810.6371411303417,1.7053025658242404e-13,-316.207940884761
2020-03-01,-1042.6710644531333,-3594.395092558332,-193.65988353880638,-483.6453513248111
2020-03-02,-813.1623484531226,-2711.3765261903172,-61.38790396415553,-465.4897398337796
2020-03-03,-784.0308537278763,-2681.6679559532054,-117.48563327653925,-568.9417683183167
2020-03-04,-636.5274684936796,-2833.643267843176,-261.43676493621746,-667.4412151806453
2020-03-05,-469.19982427725336,-2237.41381606056,-348.7805116536592,-726.3055421075278
2020-03-06,-401.70286715012537,-2073.0441895689905,1.1368683772161603e-13,-741.2558673425953
2020-03-07,-605.5536244460982,-2259.3243569611695,144.5055396728488,-822.9312905027218
2020-03-08,-560.4512834608564,-2027.373270137924,-100.28590758742683,-723.8599921873526
2020-03-09,-803.2965561016173,-2552.6825208220826,-268.2266115501558,-844.2868191357126
2020-03-10,-906.3804619269847,-3072.5260172563057,-474.3014155755159,-944.809156641232
2020-03-11,-1021.5782643567981,-3548.548784931615,-702.5845668511331,-1057.602862571677
2020-03-12,-382.8673030263427,-697.3672028912933,-414.4167719660058,-529.0343839537273
2020-03-13,0.0,-578.0436924286087,-883.3897398174968,-557.4950770538923
2020-03-14,-460.5747673273832,-578.0436924286087,-593.0919712950424,-390.8036756234841
2020-03-15,-497.7410467119952,-548.3442382128064,-545.0123940204068,-430.61617436641524
2020-03-16,-471.41305314520366,-587.3535621851354,-522.0926450126731,-440.68324171304306
2020-03-17,-482.6181234177002,-587.3535621851354,-545.2878301757672,-493.87904825627453
2020-03-18,-548.9842140573205,-660.1928151218253,-627.2339519630414,-605.1267393716296
2020-03-19,-587.2776195495626,-607.9974357991264,-714.4268934112789,-662.8250717073245
2020-03-20,-596.7052496466706,-690.6988500287013,-740.7260502165703,-696.0159417155174
2020-03-21,-620.6893161488332,-785.7929579199699,-776.5423804335372,-755.4678840508923
2020-03-22,-608.804375243033,-878.3114504847498,-776.5423804335372,-755.4678840508923
2020-03-23,-644.2157349825369,-867.2649755457252,-837.5283358437546,-821.1150380838715
2020-03-24,-655.9507332017164,-917.1219986974583,-858.8382872673905,-848.616276820703
2020-03-25,-519.7479562857451,-945.1812573215551,-858.8382872673905,-848.616276820703
2020-03-26,-369.2717885587036,-935.729424122763,-888.1859565510167,-835.4082594630019
2020-03-27,-350.26284328526015,-935.729424122763,-888.1859565510167,-809.8173529078342
2020-03-28,-310.63835100572373,-843.8740524215667,-908.5804109822079,-798.3833254385511
2020-03-29,-269.4600779539663,-800.341080209051,-928.1715962194336,-761.0534722229904
2020-03-30,-269.4600779539663,-659.172024957807,-970.4035293874249,-761.0534722229904
2020-03-31,-303.50523132519663,-675.105397190141,-1000.1293165227701,-761.0534722229904
2020-04-01,-394.5488912712558,-527.2244381160632,-1000.1293165227701,-753.0876742210671
2020-04-02,-379.34162579301073,-545.3078495650045,-1000.1293165227701,-726.3533289240925
2020-04-03,-340.9508674324264,-621.2348117016288,-983.5971528406308,-692.517567839174
2020-04-04,-376.3330215461576,-621.2348117016288,-963.7515488628169,-637.5655241034015
2020-04-05,-407.34535276458087,-631.1046150655095,-936.424928750233,-572.3020407464592
2020-04-06,-398.9717842491087,-474.35489956897504,-719.4571870437027,-446.8779342567646
2020-04-07,-496.415843380298,-411.19140423555865,-661.2861091185772,-470.251052846466
2020-04-08,-649.1259304656455,-376.44370353304424,-655.3618202745332,-357.4723477509339
2020-04-09,-1235.8073748988454,-1.7053025658242404e-13,-790.9322374976894,1.7053025658242404e-13
2020-04-10,-968.8378022508602,-574.8530581090649,-487.50883032569715,1.7053025658242404e-13
2020-04-11,-876.2065879738508,-1019.6333410964653,-334.6029318223357,209.1337852256188
2020-04-12,-742.0627281618745,-1211.811586737901,-246.31212295351375,180.23091982044895
2020-04-13,2.2737367544323206e-13,-1887.2992250718244,-533.5668411117911,426.71371366315486
2020-04-14,4539.944932190054,-2824.521921480809,-864.3082933367998,681.9630559435267
2020-04-15,5219.522361024045,-3485.0713178403284,-1295.4063211356276,2.2737367544323206e-13
2020-04-16,2138.9303944123426,-261.05455561227564,115.41550550100965,2.2737367544323206e-13
2020-04-17,1920.0386282468944,-164.93270470796628,253.0766312663453,2.2737367544323206e-13
2020-04-18,1759.1909782381083,202.7880211376672,554.6936063574752,87.44485914400128
2020-04-19,1826.120062321833,292.78188533160596,700.2418031406003,58.39712775671342
2020-04-20,1606.3128186574281,119.72305269121696,653.3109965901291,-81.71941776089352
2020-04-21,1645.1295548357498,-5.258016244624741e-13,675.6668626707257,-171.65000659818378
2020-04-22,1748.744997651798,260.7816414143764,901.2881555594184,-166.3708171261682
2020-04-23,1623.9054648366669,745.4912404097835,1148.248742587376,-73.57485462233639
2020-04-24,1397.5500478026722,905.7811462648854,1407.340712264865,1.8474111129762605e-13
2020-04-25,1307.9684485680045,1088.8652804745054,1790.6981477576624,126.7531412387284
2020-04-26,1273.0975077815845,1455.7158297192548,2194.6842116616926,341.1325211190407
2020-04-27,1248.7199408754884,1863.6037046347305,2475.3765564787923,527.7531494792648
2020-04-28,1323.2600490540422,2148.0286042546363,2732.4476967808855,1017.6231717941448
2020-04-29,1490.3949191749755,2601.6862855739855,3110.4939886888174,1761.2429799980353
2020-04-30,2004.947927535558,2777.5089863947887,2965.653838400888,1562.4785161455084
2020-05-01,2280.400340832845,3157.9259059402075,2838.647924135458,1723.0258290914903
2020-05-02,2320.177867382069,3157.9259059402075,2626.4541904298358,1898.8851314456651
2020-05-03,2257.1547813805823,3157.9259059402075,2593.4498695110174,1988.8949477495353
2020-05-04,2238.7458618985006,3157.9259059402075,2546.9877274416567,2058.3496542390603
