date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,XRPUSDT_PERP
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,-1032.5469837922678,-877.1272090051134,179.1628743975433,-372.6099858781681
2020-02-21,-1315.2949156962216,-1095.3801114640357,204.12347775700675,-523.6445356771742
2020-02-22,-1595.9590660379667,-1310.8513090031186,169.68504956343412,-650.297592753011
2020-02-23,-1555.2843716775417,-1078.9811673535492,340.585628877928,-697.7533081291554
2020-02-24,-1682.9784788315142,-1181.2888399284107,305.10029484135987,-793.1764592533256
2020-02-25,-1634.4060684815288,-1564.452498020467,-5.684341886080802e-14,-948.6563678395056
2020-02-26,-2064.682653635751,-2262.527381913199,-415.9742871320638,-1259.7761014882267
2020-02-27,-2490.4453604795813,-3145.156986334693,-753.2581740563642,-1550.630356466491
2020-02-28,-2947.914125852002,-4065.667759260282,-1061.5942037956622,-1854.402109498105
2020-02-29,-1898.0099363160612,-2957.6672976542345,-809.8433991064796,-1260.0142361124842
2020-03-01,-2116.198809460664,-3504.146104753041,-1015.5873465450775,-1463.8064835996813
2020-03-02,-1932.4455901999095,-2992.4949935873424,-1000.780602307683,-1448.560628970136
2020-03-03,-2002.6237529485568,-3148.9975593329073,-1059.3480910064113,-1527.6329344351373
2020-03-04,-2019.7261077732019,-3369.83047171055,-1163.1960484352228,-1630.0624794389898
2020-03-05,-1819.4451244909862,-2948.8409095170987,-1217.5364172052982,-1674.8900657956833
2020-03-06,-1582.9858852670266,-2777.8404075033754,-983.7652532322023,-1647.7442542626804
2020-03-07,-1397.5086703250772,-2692.452107663787,-890.0514227353939,-1631.6919505108292
2020-03-08,-850.3720943814075,-1942.8365941680177,-669.968443837082,-1210.1944963447245
2020-03-09,-1106.1989684190082,-2496.1160046366226,-861.7268192303529,-1420.4022800247808
2020-03-10,-1315.5242786543345,-3009.8426824344187,-1032.697968580183,-1590.2668386363198
2020-03-11,-1510.3043099819338,-3432.2007828794194,-1201.7921383801608,-1750.5446319454275
2020-03-12,-342.51257335918194,-438.93576546402437,-318.3575225275748,-526.0283449343904
2020-03-13,-464.5981918903911,-594.7545999968522,-447.36132805455463,-650.3627440739713
2020-03-14,-521.957096844417,-686.179595666324,-501.22726945115375,-710.083261358599
2020-03-15,-607.4205287325224,-810.5604096317653,-585.5901248281494,-817.0611454018041
2020-03-16,-629.8191399897385,-874.5206005533437,-607.1007920866704,-849.1744834230406
2020-03-17,-720.3813196903928,-985.7716473176558,-694.2846596712761,-945.7682599376594
2020-03-18,-776.5335574770603,-1065.0537970973974,-753.6933521365443,-1013.4802164753421
2020-03-19,-832.4344355747223,-1102.7533437483476,-843.1249348663426,-1060.0301877457678
2020-03-20,-832.4344355747223,-1102.7533437483476,-843.1249348663426,-1043.6339174832494
2020-03-21,-844.609068802983,-1102.7533437483476,-871.4054132843225,-1079.7537186121747
2020-03-22,-807.8952352245243,-1073.5008423591291,-844.9705684066881,-1061.637145761937
2020-03-23,-852.7107034197496,-1073.5008423591291,-909.1344861233314,-1115.9870312992362
2020-03-24,-852.7107034197496,-1048.8148773924338,-926.1813358099043,-1139.666523790305
2020-03-25,-852.7107034197496,-998.7933058441515,-926.1813358099043,-1139.666523790305
2020-03-26,-872.8569059197787,-969.0080110329498,-945.6973184820639,-1139.666523790305
2020-03-27,-817.1808855957289,-921.8232605902433,-924.9998058175213,-1082.308122180135
2020-03-28,-827.2215577768001,-943.5795379956237,-953.0590568967252,-1060.2678909825063
2020-03-29,-806.2809960114732,-963.0016958000069,-953.0590568967252,-990.7625241080316
2020-03-30,-850.8369170994438,-983.6383872304409,-1008.5295129347767,-1007.2952517038663
2020-03-31,-865.2752989259512,-983.6383872304409,-1027.6820934740335,-1007.2952517038663
2020-04-01,-865.2752989259512,-961.3005016602722,-1048.7234895614363,-981.508165819029
2020-04-02,-854.4460926581693,-911.2257151322509,-1048.7234895614363,-954.0527023615803
2020-04-03,-832.0715171543104,-861.3066568032076,-1048.7234895614363,-916.8760985506128
2020-04-04,-790.8788092761328,-811.1979139117304,-1026.9567999404126,-875.892745744145
2020-04-05,-741.8052306947812,-768.7178674969415,-1003.5383166959634,-842.9624145961511
2020-04-06,-606.4950517368342,-605.1771081888609,-775.9924038871872,-646.3007290137203
2020-04-07,-496.8747241087159,-485.0059577068261,-627.144591399762,-522.1063152334337
2020-04-08,-402.85646393400657,-353.542237392848,-493.7152871591935,-357.72565162431135
2020-04-09,-318.5843868298337,-253.41756638806874,-377.07646506167106,-239.4071068300105
2020-04-10,-309.03342827474256,-273.8620896319551,-335.4047640263603,-229.3243326820148
2020-04-11,-339.3538362972553,-311.05945962389455,-335.4047640263603,-235.69741677535242
2020-04-12,-329.2912552855112,-336.37221585646085,-326.7798355342044,-229.3236521292742
2020-04-13,-250.93077047163075,-379.0614202056373,-335.9969094533149,-242.71223401342007
2020-04-14,-113.90076586342892,-410.09360803704914,-335.9969094533149,-271.9606093889083
2020-04-15,-98.79882294595699,-510.77146645969475,-367.454584960312,-357.71280756365843
2020-04-16,-4.831690603168681e-13,-409.8051875378679,-212.6691856494097,-307.968165644848
2020-04-17,192.8387333134727,-513.7054225394936,-144.84847035585992,-412.48019383556897
2020-04-18,861.2277481983708,-538.5438484958236,438.1479471395056,-430.0893295278357
2020-04-19,1067.8256862144642,-374.17513519042194,757.8754223951257,-413.46325631457466
2020-04-20,807.1883911644694,-587.6470550053737,722.4381782425739,-696.8605147204062
2020-04-21,774.0970378019919,-783.7010714452671,767.9786942818198,-893.3325891687432
2020-04-22,957.7193431050233,-561.1813454651779,1185.1109449978112,-857.4212989576881
2020-04-23,756.3174400375801,111.52458184270688,994.307687392163,-362.0413268107817
2020-04-24,692.8796521384555,414.6836512444131,1025.6651192341224,-163.9501898439097
2020-04-25,735.2830319413152,625.0675955230699,1179.33620878179,3.694822225952521e-13
2020-04-26,880.5103315938675,993.6708888966679,1497.5111561578383,129.449359379955
2020-04-27,1023.5956457157852,1387.250894659362,1723.124355507877,302.0209091203485
2020-04-28,1131.5095718961452,1686.8945713447931,1940.5337638695696,848.2805707798468
2020-04-29,1444.620129025027,2073.959368209296,2350.2031264329594,1656.4055116586287
2020-04-30,1557.159858723607,2599.1322169496893,2350.2031264329594,1502.7837604960796
2020-05-01,1864.8059057764192,3180.0031831878655,2721.9807999221803,1864.2727298768818
2020-05-02,1927.4089088091216,3251.0895274455306,2721.9807999221803,2105.1499105712364
2020-05-03,1839.7249071172948,3346.578678502858,2666.971717584804,2146.7246967950423
