date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,XRPUSDT_PERP
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,-1457.8955488297813,-1238.4519773323073,252.96743024749085,-526.1033622568767
2020-02-21,-1457.8955488297813,-1216.0145347696023,226.60363579952536,-581.3136095606662
2020-02-22,-1469.6515084304392,-1207.1077790153165,156.25581780620826,-598.8316733528369
2020-02-23,-1520.3439393597928,-1054.7411832473763,332.93416054781716,-682.0778453770441
2020-02-24,-1512.8736888958497,-1061.8916566032374,274.26269221239926,-713.0072136686298
2020-02-25,-1332.4074003995268,-1275.3795559952998,0.0,-773.3676405887489
2020-02-26,-1237.09039344564,-1355.6324910967749,-249.23820308428813,-754.8166834739272
2020-02-27,-1369.6709407375317,-1729.7428791654788,-414.26961147195766,-852.8006166208946
2020-02-28,-1620.2704312862259,-2234.6245421444414,-583.4870437203875,-1019.2403094056165
2020-02-29,-1787.3250860083297,-2785.187187915538,-762.6163568830934,-1186.534912089337
2020-03-01,-1990.1958748775057,-3295.501864697186,-955.1171367433735,-1376.6483622687178
2020-03-02,-1826.4869509325179,-2828.41239320624,-945.9064307586913,-1376.6483622687178
2020-03-03,-1893.187240005987,-2976.915653457846,-1001.45835465358,-1444.153039045571
2020-03-04,-1908.0836704584756,-3183.5596274850495,-1098.8991908452883,-1539.959099837438
2020-03-05,-1714.3158001311876,-2778.45398864264,-1147.1859684881094,-1578.1132745509908
2020-03-06,-1488.509782432177,-2612.052741017759,-925.0519645700998,-1549.403228571859
2020-03-07,-1317.0408899052186,-2537.422196514773,-838.80275146211,-1537.7400256501317
2020-03-08,-820.7032463128846,-1875.0524745864986,-646.5937445704437,-1167.9717130682668
2020-03-09,-1063.33040495627,-2399.383942494084,-828.3322926647425,-1365.3573857315914
2020-03-10,-1263.5999338249742,-2891.042815445484,-991.9369075376704,-1527.498279332714
2020-03-11,-1448.0657180576036,-3290.762171788816,-1152.2671188300246,-1678.4059031654767
2020-03-12,-426.32050559281925,-546.3370749288088,-396.2550589957631,-654.7399640521018
2020-03-13,-459.68600216871124,-588.4662685224258,-442.631383435948,-643.4864685254067
2020-03-14,-516.5293141321405,-679.0440786489467,-496.0150542624039,-702.6991723720141
2020-03-15,-600.7929910916831,-801.7164220302634,-579.2007777270557,-808.1462285692817
2020-03-16,-623.0280303573566,-865.0909644926954,-600.5546460977865,-840.0181452812042
2020-03-17,-712.31918970796,-974.7394079515839,-686.5145898234292,-935.183717506502
2020-03-18,-767.7800733144377,-1053.0479649534236,-745.197334472046,-1002.0557481589041
2020-03-19,-823.5060631653974,-1090.9256344323398,-834.0819002628104,-1048.6607106111683
2020-03-20,-823.5060631653974,-1090.9256344323398,-834.0819002628104,-1031.251233554141
2020-03-21,-823.5060631653974,-1090.9256344323398,-860.934568683613,-1066.779351891162
2020-03-22,-798.3839611441035,-1060.86261862409,-835.0228099404917,-1049.1385922032066
2020-03-23,-842.5671652812601,-1060.86261862409,-898.3197510718962,-1102.7116531802044
2020-03-24,-842.5671652812601,-1036.0496072995131,-914.9086554146472,-1125.7954858162702
2020-03-25,-842.5671652812601,-986.6183527634356,-914.9086554146472,-1125.7954858162702
2020-03-26,-859.4532203520173,-954.1278186389394,-931.1750876178296,-1111.8416312516858
2020-03-27,-804.0958014266133,-907.0625935623087,-910.1882744553876,-1064.9776961688613
2020-03-28,-804.0958014266133,-928.0457501526222,-937.3692113717436,-1042.813107562494
2020-03-29,-792.9752058885362,-947.1095955077603,-937.3692113717436,-974.4122959956668
2020-03-30,-836.6478101536956,-967.2345970423806,-991.7106222291895,-990.4969443371688
2020-03-31,-850.5961944249887,-967.2345970423806,-1010.2478123121908,-981.7395330092835
2020-04-01,-850.5961944249887,-944.6939942814804,-1030.6067463186776,-964.5525701755573
2020-04-02,-839.7087640516407,-895.5090620700962,-1030.6067463186776,-937.5973773229845
2020-04-03,-817.3970069471638,-846.1165522675211,-1030.6067463186776,-900.7059648668112
2020-04-04,-776.8965004613611,-796.8563743367947,-1008.8007601682276,-860.4074365969427
2020-04-05,-728.69470829494,-755.1316963512666,-985.8019742765149,-828.0640596621541
2020-04-06,-594.6616277626938,-593.3693988264604,-760.8518894021762,-633.6906499713386
2020-04-07,-487.20438225901,-475.56660975331164,-614.938893879309,-511.9449077292506
2020-04-08,-511.13146015458193,-448.5631389906822,-626.4102433954158,-453.8709218264806
2020-04-09,-546.7748876880897,-434.9314251675376,-647.1627309973691,-410.88577896514676
2020-04-10,-546.7748876880897,-486.6906986436479,-596.0605177291027,-407.54096282180416
2020-04-11,-567.8927366148077,-520.5434236523639,-556.5572507651353,-394.42857781147984
2020-04-12,-549.9841172986116,-561.8107776994891,-545.7895298234877,-383.0176610145851
2020-04-13,-424.59186061307213,-641.3975989841448,-568.529529785802,-410.68554023734043
2020-04-14,-206.08348176524646,-741.9925402019016,-604.5650717933132,-492.06507841278733
2020-04-15,-151.30608099216,-782.2241861617015,-562.7406434118952,-547.8215369303139
2020-04-16,-2.2737367544323206e-13,-899.1154653380617,-466.5976899098347,-675.6843226575561
2020-04-17,445.01817803709326,-1185.4892803858122,-334.2699947340982,-951.8895980233413
2020-04-18,3797.285620500681,-2374.5226697354997,1931.8616972168322,-1896.3300125469873
2020-04-19,2026.719028336805,-710.1794573881573,1438.4375273105209,-784.7477916190026
2020-04-20,2868.3365868735928,-2088.198450932611,2567.1774781325576,-2476.2874840612403
2020-04-21,2404.693172459258,-2434.5276156908567,2385.6868487411157,-2775.092363108769
2020-04-22,2362.9838192827315,-1384.6044235864533,2924.027803391251,-2115.518152924285
2020-04-23,1020.0522655979626,150.41422603300794,1341.031894194387,-488.2884568086656
2020-04-24,718.0949644907616,429.7748402571814,1062.991177620356,-169.9166736833114
2020-04-25,718.0949644907616,610.8214943394422,1152.457607043106,-1.9895196601282805e-13
2020-04-26,859.53386493998,969.9985894153549,1461.835830492882,126.36547714374547
2020-04-27,998.3689112562413,1353.0617985110825,1680.6575858033482,294.57753896974384
2020-04-28,1095.8016437782005,1633.6599265903596,1879.294829730831,821.5107206631592
2020-04-29,1391.122726363218,1997.1561746249683,2263.17003000457,1595.065238982068
2020-04-30,1498.3253691835564,2500.9286726092364,2263.17003000457,1446.0037742008126
2020-05-01,1794.2890413635905,3059.7526774346347,2619.0502212448673,1793.776027290277
2020-05-02,1927.4089088091227,3251.089527445531,2716.3516531741116,2105.1499105712364
2020-05-03,1839.7249071172957,3346.5786785028586,2666.9717175848045,2146.7246967950423
