date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,XRPUSDT_PERP
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,272.4864327444511,888.5060028449955,1096.544219688523,508.5293637211535
2020-02-21,242.3673531874799,1101.7847497215303,1173.0957474625993,563.2897190213179
2020-02-22,0.0,1212.0697494115745,1191.2331820554318,545.930982569635
2020-02-23,0.0,1159.4854363038041,1357.9045910405034,514.5195991265919
2020-02-24,-53.00271009300763,1022.2376804262556,1370.1394734999244,462.7875166088292
2020-02-25,-159.20918574095782,398.6668661625404,1021.7902155573793,293.48735151666517
2020-02-26,-351.69236011053226,-487.8700599473242,482.9324026628052,99.61340567228797
2020-02-27,-456.03441868017615,-910.0324597204205,416.44855391182233,-1.4210854715202004e-13
2020-02-28,-616.5580095884656,-1485.811423141095,292.6917973796524,-116.5455036515486
2020-02-29,-751.7818268570207,-2810.6371411303417,-1.7053025658242404e-13,-316.2079408847611
2020-03-01,-1042.6710644531333,-3594.395092558332,-193.65988353880672,-483.6453513248112
2020-03-02,-813.1623484531226,-2711.3765261903172,-61.38790396415587,-465.4897398337797
2020-03-03,-784.0308537278763,-2681.6679559532054,-117.48563327653959,-568.9417683183169
2020-03-04,-636.5274684936796,-2833.643267843176,-261.4367649362178,-667.4412151806455
2020-03-05,-469.19982427725336,-2237.41381606056,-348.7805116536595,-726.305542107528
2020-03-06,-401.70286715012537,-2073.0441895689905,-2.2737367544323206e-13,-741.2558673425955
2020-03-07,-605.5536244460982,-2259.3243569611695,144.50553967284847,-822.931290502722
2020-03-08,-560.4512834608564,-2027.373270137924,-100.28590758742718,-723.8599921873529
2020-03-09,-803.2965561016173,-2552.6825208220826,-268.2266115501561,-844.2868191357128
2020-03-10,-906.3804619269847,-3072.5260172563057,-474.3014155755162,-944.8091566412322
2020-03-11,-1021.5782643567981,-3548.548784931615,-702.5845668511334,-1057.6028625716772
2020-03-12,-180.00458657558556,-327.8663235423446,-194.83753017843145,-248.72485797333354
2020-03-13,2.842170943040401e-14,-79.12306429905686,-120.91906563505948,-76.31035405440528
2020-03-14,-192.8717798165107,-241.24587092599162,-248.36511292692526,-163.65421170100302
2020-03-15,-336.72500663332227,-370.95838984802276,-368.7043759080475,-291.3146004891318
2020-03-16,-390.0674812249035,-486.0016562151943,-432.00196016509744,-364.6403105857255
2020-03-17,-482.6181234177002,-584.7865113141231,-545.2878301757677,-493.87904825627487
2020-03-18,-548.9842140573205,-660.1928151218251,-627.2339519630418,-605.1267393716299
2020-03-19,-587.2776195495626,-607.9974357991262,-714.4268934112794,-662.8250717073248
2020-03-20,-596.7052496466706,-690.698850028701,-740.7260502165708,-696.0159417155178
2020-03-21,-620.6893161488332,-785.7929579199697,-776.5423804335377,-755.4678840508926
2020-03-22,-608.804375243033,-878.3114504847496,-776.5423804335377,-755.4678840508926
2020-03-23,-644.2157349825369,-867.264975545725,-837.528335843755,-821.1150380838718
2020-03-24,-655.9507332017164,-917.121998697458,-858.8382872673909,-848.6162768207033
2020-03-25,-519.7479562857451,-945.1812573215549,-858.8382872673909,-848.6162768207033
2020-03-26,-369.2717885587036,-935.7294241227628,-888.1859565510172,-835.4082594630022
2020-03-27,-350.26284328526015,-935.7294241227628,-888.1859565510172,-809.8173529078346
2020-03-28,-310.63835100572373,-843.8740524215665,-908.5804109822084,-798.3833254385514
2020-03-29,-269.4600779539663,-800.3410802090508,-928.171596219434,-761.0534722229908
2020-03-30,-269.4600779539663,-659.1720249578068,-970.4035293874254,-761.0534722229908
2020-03-31,-303.50523132519663,-675.1053971901408,-1000.1293165227705,-761.0534722229908
2020-04-01,-394.5488912712558,-527.224438116063,-1000.1293165227705,-753.0876742210675
2020-04-02,-379.34162579301073,-545.3078495650043,-1000.1293165227705,-726.3533289240928
2020-04-03,-340.9508674324264,-621.2348117016286,-983.5971528406312,-692.5175678391744
2020-04-04,-376.3330215461576,-621.2348117016286,-963.7515488628173,-637.5655241034018
2020-04-05,-407.34535276458087,-631.1046150655093,-936.4249287502334,-572.3020407464596
2020-04-06,-344.32997282472996,-409.3888744169445,-620.9227906418507,-385.6750603258911
2020-04-07,-300.1101791099086,-248.58740432877553,-399.78315619236633,-284.29215057961085
2020-04-08,-230.74498872244334,-133.81455592762546,-232.96166233860004,-127.07080241149032
2020-04-09,-171.4710468592113,2.842170943040401e-14,-109.74362308650936,-3.268496584496461e-13
2020-04-10,-198.9931172448908,-118.0711587895512,-100.13121041059702,-3.268496584496461e-13
2020-04-11,-229.59298708658127,-267.1751933031515,-87.6762257433639,54.799462945953096
2020-04-12,-231.88695989320235,-378.67864015764326,-76.97000160351902,56.32030620840226
2020-04-13,5.684341886080802e-14,-362.9994449279566,-102.62520356207577,82.07328183318504
2020-04-14,546.708530950501,-340.1341323286375,-104.08159667050259,82.07328183318504
2020-04-15,665.0575635006974,-444.0584557270327,-165.05720487206372,-3.268496584496461e-13
2020-04-16,1144.1596957424572,-139.64367503580485,61.738226733777196,-3.268496584496461e-13
2020-04-17,1447.7836276518487,-124.36565912142915,190.82959993531094,-3.268496584496461e-13
2020-04-18,1759.1909782381085,202.78802113766778,554.6936063574749,87.44485914400073
2020-04-19,1826.1200623218333,292.78188533160653,700.2418031405999,58.39712775671286
2020-04-20,1606.3128186574284,119.72305269121753,653.3109965901288,-81.71941776089407
2020-04-21,1645.12955483575,4.263256414560601e-14,675.6668626707253,-171.65000659818432
2020-04-22,1748.7449976517983,260.78164141437696,901.2881555594181,-166.37081712616873
2020-04-23,1623.905464836667,745.491240409784,1148.2487425873758,-73.57485462233693
2020-04-24,1397.5500478026725,905.7811462648859,1407.3407122648648,-3.552713678800501e-13
2020-04-25,1307.9684485680048,1088.8652804745059,1790.6981477576621,126.75314123872786
2020-04-26,1273.0975077815847,1455.7158297192552,2194.6842116616926,341.1325211190402
2020-04-27,1248.7199408754886,1863.603704634731,2475.3765564787923,527.7531494792644
2020-04-28,1323.2600490540424,2148.028604254637,2732.4476967808855,1017.6231717941444
2020-04-29,1490.3949191749757,2601.686285573986,3110.4939886888174,1761.2429799980348
2020-04-30,2004.947927535558,2777.5089863947887,2965.653838400888,1562.478516145508
2020-05-01,2512.486074243228,3479.321029775397,3127.5488129707182,1898.385263165107
2020-05-02,2867.4466398019867,3898.542117455254,3245.9654705005846,2346.7820575659307
2020-05-03,2825.2297513728945,3955.927097601855,3245.9654705005846,2489.454965644991
2020-05-04,2872.6892148368574,4049.5744440616304,3268.2156110112364,2641.2103994159397
